Afganistan ; 3082 ; 2568 ; 3493 ; 3836 ; 4144 ; 651
Albania ; 124 ; 114 ; 199 ; 355 ; 586 ; 225
Alemania ; 1627 ; 1708 ; 3091 ; 5613 ; 17815 ; 10087
Andorra ; 2 ; 2 ; 4 ; 7 ; 23 ; 9
Angola ; 1800 ; 1518 ; 2082 ; 2343 ; 2538 ; 412
Anguilla ; 1 ; 1 ; 1 ; 2 ; 4 ; 1
Antigua y Barbuda ; 3 ; 4 ; 6 ; 8 ; 20 ; 5
Antillas Neerlandesas ; 6 ; 7 ; 10 ; 12 ; 45 ; 16
Arabia Saudita ; 1505 ; 1447 ; 2199 ; 3298 ; 6365 ; 868
Argelia ; 1828 ; 1752 ; 2514 ; 4266 ; 7465 ; 1409
Argentina ; 1744 ; 1744 ; 2723 ; 4085 ; 7786 ; 2808
Armenia ; 126 ; 119 ; 170 ; 317 ; 537 ; 198
Aruba ; 3 ; 3 ; 6 ; 9 ; 23 ; 8
Australia ; 723 ; 723 ; 1130 ; 1854 ; 4544 ; 2261
Austria ; 195 ; 203 ; 356 ; 635 ; 1846 ; 914
Azerbaiyan ; 443 ; 415 ; 566 ; 1037 ; 1763 ; 405
Bahamas ; 14 ; 14 ; 23 ; 35 ; 72 ; 19
Bahrein ; 35 ; 35 ; 57 ; 104 ; 247 ; 24
Bangladesh ; 8235 ; 8235 ; 13842 ; 19975 ; 32240 ; 5957
Barbados ; 7 ; 7 ; 12 ; 22 ; 59 ; 20
Belarus ; 234 ; 243 ; 384 ; 805 ; 2030 ; 636
Belgica ; 305 ; 315 ; 490 ; 783 ; 2219 ; 1207
Belice ; 19 ; 18 ; 29 ; 40 ; 57 ; 10
Benin ; 862 ; 756 ; 1001 ; 1139 ; 1395 ; 234
Bermudas ; 2 ; 2 ; 3 ; 6 ; 15 ; 5
Bhutan ; 37 ; 35 ; 58 ; 95 ; 152 ; 31
Bolivia ; 630 ; 619 ; 944 ; 1216 ; 1628 ; 380
Bosnia y Herzegovina ; 86 ; 89 ; 160 ; 309 ; 794 ; 354
Botswana ; 118 ; 114 ; 168 ; 261 ; 337 ; 61
Brasil ; 7100 ; 7709 ; 13998 ; 20287 ; 39762 ; 10752
Brunei Darussalam ; 19 ; 19 ; 29 ; 51 ; 90 ; 19
Bulgaria ; 182 ; 182 ; 269 ; 516 ; 1569 ; 784
Burkina Faso ; 1749 ; 1540 ; 1787 ; 1977 ; 2225 ; 247
Burundi ; 659 ; 574 ; 800 ; 1120 ; 1280 ; 198
Cabo Verde ; 30 ; 29 ; 48 ; 64 ; 81 ; 11
Camboya ; 916 ; 834 ; 1292 ; 2110 ; 2470 ; 425
