Afganistan ; 2911 ; 2397 ; 3219 ; 3527 ; 3801 ; 651
Albania ; 114 ; 107 ; 186 ; 339 ; 638 ; 270
Alemania ; 1546 ; 1627 ; 2928 ; 5369 ; 17245 ; 12609
Andorra ; 2 ; 2 ; 3 ; 6 ; 22 ; 10
Angola ; 1800 ; 1540 ; 2104 ; 2408 ; 2668 ; 499
Anguilla ; 1 ; 1 ; 1 ; 2 ; 4 ; 1
Antigua y Barbuda ; 3 ; 3 ; 6 ; 8 ; 20 ; 6
Antillas Neerlandesas ; 6 ; 7 ; 10 ; 12 ; 55 ; 21
Arabia Saudita ; 1476 ; 1418 ; 2170 ; 3067 ; 4398 ; 723
Argelia ; 1752 ; 1676 ; 2400 ; 4114 ; 7313 ; 1638
Argentina ; 1659 ; 1659 ; 2638 ; 4000 ; 7871 ; 3829
Armenia ; 107 ; 104 ; 148 ; 311 ; 691 ; 311
Aruba ; 3 ; 3 ; 6 ; 9 ; 26 ; 11
Australia ; 678 ; 678 ; 1085 ; 1763 ; 4589 ; 2555
Austria ; 186 ; 195 ; 330 ; 610 ; 1837 ; 1160
Azerbaiyan ; 386 ; 358 ; 500 ; 1009 ; 1998 ; 537
Bahamas ; 14 ; 14 ; 23 ; 36 ; 77 ; 25
Bahrein ; 34 ; 34 ; 56 ; 86 ; 153 ; 18
Bangladesh ; 7885 ; 7885 ; 13316 ; 19274 ; 31714 ; 6483
Barbados ; 7 ; 7 ; 11 ; 21 ; 59 ; 28
Belarus ; 225 ; 234 ; 355 ; 776 ; 2226 ; 1197
Belgica ; 294 ; 305 ; 468 ; 772 ; 2208 ; 1512
Belice ; 18 ; 18 ; 28 ; 39 ; 55 ; 12
Benin ; 830 ; 735 ; 969 ; 1097 ; 1331 ; 309
Bermudas ; 2 ; 2 ; 3 ; 5 ; 13 ; 6
Bhutan ; 36 ; 34 ; 56 ; 90 ; 119 ; 28
Bolivia ; 608 ; 597 ; 912 ; 1183 ; 1682 ; 467
Bosnia y Herzegovina ; 82 ; 82 ; 153 ; 294 ; 872 ; 455
Botswana ; 116 ; 112 ; 166 ; 255 ; 314 ; 84
Brasil ; 6695 ; 7506 ; 13592 ; 19881 ; 42196 ; 13389
Brunei Darussalam ; 18 ; 17 ; 27 ; 49 ; 90 ; 15
Bulgaria ; 167 ; 174 ; 254 ; 494 ; 1569 ; 1104
Burkina Faso ; 1673 ; 1483 ; 1730 ; 1939 ; 2301 ; 361
Burundi ; 659 ; 574 ; 800 ; 1139 ; 1346 ; 273
Cabo Verde ; 30 ; 29 ; 48 ; 66 ; 92 ; 21
Camboya ; 883 ; 801 ; 1243 ; 2045 ; 2683 ; 638
Camerun ; 1596 ; 1485 ; 1995 ; 2461 ; 2860 ; 665
Canada ; 923 ; 923 ; 1491 ; 2733 ; 7489 ; 4259
Chad ; 1128 ; 958 ; 1273 ; 1391 ; 1535 ; 328
Chile ; 609 ; 609 ; 1004 ; 1721 ; 3621 ; 1488
China ; 42119 ; 39311 ; 64582 ; 124953 ; 296237 ; 106701
Chipre ; 26 ; 25 ; 41 ; 80 ; 202 ; 100
Colombia ; 2173 ; 2173 ; 3457 ; 4988 ; 9482 ; 2815
Comoras ; 62 ; 60 ; 85 ; 106 ; 152 ; 28
Congo ; 287 ; 266 ; 380 ; 482 ; 570 ; 131
Costa Rica ; 188 ; 183 ; 317 ; 511 ; 952 ; 292
Cote d'Ivoire ; 1695 ; 1574 ; 2203 ; 2639 ; 3099 ; 726
Croacia ; 105 ; 101 ; 170 ; 310 ; 926 ; 647
