Continente                                         Pais      Densidad total    Densidad Hombres    Densidad Mujeres
Africa         Angola                                         17.42 por km2        8.58 por km2        8.84 por km2
Africa         Argelia                                        16.01 por km2        8.08 por km2        7.93 por km2
Africa         Benin                                          94.64 por km2       47.83 por km2       46.79 por km2
Africa         Botswana                                        3.51 por km2        1.76 por km2        1.74 por km2
Africa         Burkina Faso                                   69.34 por km2       34.74 por km2        34.6 por km2
Africa         Burundi                                       338.56 por km2       166.4 por km2      172.15 por km2
Africa         Cabo Verde                                    136.13 por km2       65.21 por km2       70.91 por km2
Africa         Camerun                                        46.63 por km2       23.36 por km2       23.27 por km2
Africa         Chad                                           10.23 por km2        5.08 por km2        5.15 por km2
Africa         Comoras                                       456.68 por km2      229.03 por km2      227.65 por km2
Africa         Congo                                          12.37 por km2        6.18 por km2        6.19 por km2
Africa         Djibouti                                       41.43 por km2       20.74 por km2        20.7 por km2
Africa         Egipto                                         91.83 por km2        46.1 por km2       45.73 por km2
Africa         Eritrea                                        49.43 por km2       24.41 por km2       25.02 por km2
Africa         Etiopia                                        85.38 por km2       42.52 por km2       42.86 por km2
Africa         Gabon                                           6.13 por km2        3.07 por km2        3.06 por km2
Africa         Gambia                                        175.84 por km2       87.35 por km2        88.5 por km2
Africa         Ghana                                         112.67 por km2       57.12 por km2       55.55 por km2
Africa         Guinea                                         48.13 por km2       24.33 por km2        23.8 por km2
Africa         Guinea Ecuatorial                              27.91 por km2       13.87 por km2       14.05 por km2
Africa         Guinea-Bissau                                  51.22 por km2       25.39 por km2       25.83 por km2
Africa         Jamahiriya Arabe Libia                          4.07 por km2        2.09 por km2        1.97 por km2
Africa         Kenya                                          79.61 por km2       39.77 por km2       39.85 por km2
Africa         Lesotho                                        71.42 por km2        34.0 por km2       37.42 por km2
Africa         Liberia                                        41.84 por km2       20.86 por km2       20.98 por km2
Africa         Madagascar                                     39.01 por km2       19.39 por km2       19.62 por km2
Africa         Malawi                                        152.06 por km2        75.8 por km2       76.26 por km2
