Continente                                         Pais               Total   Hombres   Mujeres  %Hombres  %Mujeres
Africa         Angola                                                 21712     10693     11019     49.25%     50.75%
Africa         Argelia                                                38126     19234     18892     50.45%     49.55%
Africa         Benin                                                  10658      5387      5270     50.54%     49.45%
Africa         Botswana                                                2106      1059      1047     50.28%     49.72%
Africa         Burkina Faso                                           19013      9526      9487      50.1%      49.9%
Africa         Burundi                                                 9422      4631      4791     49.15%     50.85%
Africa         Cabo Verde                                               549       263       286     47.91%     52.09%
Africa         Camerun                                                22169     11107     11062      50.1%      49.9%
Africa         Chad                                                   13133      6521      6612     49.65%     50.35%
Africa         Comoras                                                  991       497       494     50.15%     49.85%
Africa         Congo                                                   4229      2113      2117     49.96%     50.06%
Africa         Djibouti                                                 953       477       476     50.05%     49.95%
Africa         Egipto                                                 91962     46164     45797      50.2%      49.8%
Africa         Eritrea                                                 5997      2962      3035     49.39%     50.61%
Africa         Etiopia                                                96237     47926     48311      49.8%      50.2%
Africa         Gabon                                                   1642       823       820     50.12%     49.94%
Africa         Gambia                                                  1987       987      1000     49.67%     50.33%
Africa         Ghana                                                  26979     13678     13301      50.7%      49.3%
Africa         Guinea                                                 11832      5981      5851     50.55%     49.45%
Africa         Guinea Ecuatorial                                        783       389       394     49.68%     50.32%
Africa         Guinea-Bissau                                           1850       917       933     49.57%     50.43%
Africa         Jamahiriya Arabe Libia                                  7158      3686      3472     51.49%     48.51%
Africa         Kenya                                                  46387     23170     23217     49.95%     50.05%
Africa         Lesotho                                                 2168      1032      1136      47.6%      52.4%
Africa         Liberia                                                 4660      2323      2337     49.85%     50.15%
Africa         Madagascar                                             22899     11381     11518      49.7%      50.3%
Africa         Malawi                                                 18016      8981      9035     49.85%     50.15%
Africa         Mali                                                   14963      7407      7556      49.5%      50.5%
Africa         Marruecos                                              34364     16822     17543     48.95%     51.05%
Africa         Mauricio                                                1337       660       677     49.36%     50.64%
Africa         Mauritania                                              3732      1892      1840      50.7%      49.3%
Africa         Mozambique                                             25983     12745     13238     49.05%     50.95%
Africa         Namibia                                                 2412      1194      1218      49.5%      50.5%
Africa         Niger                                                  19169      9632      9537     50.25%     49.75%
